token,kind,path,target_value,covered,covered_by_count,covered_by_cases
break_even.rr==0.5,value,break_even.rr,0.5,1,1,parity_bnd_076_be_trail_04
break_even.rr==1.5,value,break_even.rr,1.5,1,1,parity_bnd_074_be_trail_02
break_even.rr==2,value,break_even.rr,2,1,1,parity_bnd_075_be_trail_03
break_even.use_break_even==false,value,break_even.use_break_even,false,1,3,parity_pw_002;parity_pw_049;parity_pw_050
exit_filter_block.exit_on_atr_vol_block==true,value,exit_filter_block.exit_on_atr_vol_block,true,1,1,parity_core_026_exit_filter_atr_vol_block_on
exit_filter_block.exit_on_htf_trend_block==true,value,exit_filter_block.exit_on_htf_trend_block,true,1,1,parity_core_024_exit_filter_htf_block_on
exit_filter_block.exit_on_ma_block==true,value,exit_filter_block.exit_on_ma_block,true,1,1,parity_core_021_exit_filter_ma_block_on
exit_filter_block.exit_on_ma_slope_block==true,value,exit_filter_block.exit_on_ma_slope_block,true,1,1,parity_core_022_exit_filter_ma_slope_block_on
exit_filter_block.exit_on_mcginley_block==true,value,exit_filter_block.exit_on_mcginley_block,true,1,1,parity_core_023_exit_filter_mcginley_block_on
exit_filter_block.exit_on_range_block==true,value,exit_filter_block.exit_on_range_block,true,1,1,parity_core_027_exit_filter_range_block_on
exit_filter_block.exit_on_vol_block==true,value,exit_filter_block.exit_on_vol_block,true,1,1,parity_core_025_exit_filter_volume_block_on
filters.htf_trend_timeframe::changed,changed,filters.htf_trend_timeframe,,1,1,parity_bnd_085_htf_macd_01
filters.macd_gate_mode::changed,changed,filters.macd_gate_mode,,1,4,parity_bnd_085_htf_macd_01;parity_pw_002;parity_pw_049;parity_pw_050
filters.use_atr_vol_filter==true,value,filters.use_atr_vol_filter,true,1,1,parity_core_026_exit_filter_atr_vol_block_on
filters.use_htf_trend_filter==true,value,filters.use_htf_trend_filter,true,1,2,parity_bnd_085_htf_macd_01;parity_core_024_exit_filter_htf_block_on
filters.use_ma_filter==true,value,filters.use_ma_filter,true,1,1,parity_core_021_exit_filter_ma_block_on
filters.use_ma_slope_filter==true,value,filters.use_ma_slope_filter,true,1,1,parity_core_022_exit_filter_ma_slope_block_on
filters.use_macd_filter==false,value,filters.use_macd_filter,false,1,3,parity_pw_002;parity_pw_049;parity_pw_050
filters.use_macd_filter==true,value,filters.use_macd_filter,true,1,1,parity_bnd_085_htf_macd_01
filters.use_mcginley_filter==true,value,filters.use_mcginley_filter,true,1,1,parity_core_023_exit_filter_mcginley_block_on
filters.use_range_filters==true,value,filters.use_range_filters,true,1,1,parity_core_027_exit_filter_range_block_on
filters.use_range_regime_filter==true,value,filters.use_range_regime_filter,true,1,1,parity_core_027_exit_filter_range_block_on
filters.use_volume_filter==true,value,filters.use_volume_filter,true,1,1,parity_core_025_exit_filter_volume_block_on
guards.consec_loss_max==1,value,guards.consec_loss_max,1,1,3,parity_core_062_guard_recovery_bars;parity_core_063_guard_recovery_signals;parity_core_064_guard_recovery_virtual_trade
guards.dd_guard_pct::changed,changed,guards.dd_guard_pct,,1,3,parity_bnd_093_risk_guards_01;parity_bnd_095_risk_guards_03;parity_bnd_096_risk_guards_04
guards.guard_recovery_mode==Bars,value,guards.guard_recovery_mode,Bars,1,1,parity_core_062_guard_recovery_bars
guards.guard_recovery_mode==Signals,value,guards.guard_recovery_mode,Signals,1,1,parity_core_063_guard_recovery_signals
guards.guard_recovery_mode==Virtual Trade,value,guards.guard_recovery_mode,Virtual Trade,1,1,parity_core_064_guard_recovery_virtual_trade
guards.use_consec_loss_guard==true,value,guards.use_consec_loss_guard,true,1,3,parity_core_062_guard_recovery_bars;parity_core_063_guard_recovery_signals;parity_core_064_guard_recovery_virtual_trade
guards.use_cooldown_guard==true,value,guards.use_cooldown_guard,true,1,1,parity_core_059_guard_cooldown_on
guards.use_dd_guard==true,value,guards.use_dd_guard,true,1,3,parity_bnd_093_risk_guards_01;parity_bnd_095_risk_guards_03;parity_bnd_096_risk_guards_04
guards.use_eq_curve_guard==true,value,guards.use_eq_curve_guard,true,1,1,parity_core_060_guard_eq_curve_on
guards.use_guard_recovery==true,value,guards.use_guard_recovery,true,1,3,parity_core_062_guard_recovery_bars;parity_core_063_guard_recovery_signals;parity_core_064_guard_recovery_virtual_trade
guards.use_mae_guard==true,value,guards.use_mae_guard,true,1,1,parity_core_061_guard_mae_on
multi_tp.tp1_pct::changed,changed,multi_tp.tp1_pct,,1,1,parity_bnd_057_multi_tp_01
multi_tp.tp1_rr::changed,changed,multi_tp.tp1_rr,,1,1,parity_bnd_057_multi_tp_01
multi_tp.tp2_rr::changed,changed,multi_tp.tp2_rr,,1,1,parity_bnd_057_multi_tp_01
multi_tp.use_multi_tp==false,value,multi_tp.use_multi_tp,false,1,3,parity_pw_002;parity_pw_049;parity_pw_050
range_filter.use_bb_filter==false,value,range_filter.use_bb_filter,false,1,1,parity_core_004_signal_range_hybrid
range_filter.use_bb_filter==true,value,range_filter.use_bb_filter,true,1,1,parity_core_005_signal_range_hybrid_bb
risk.max_daily_loss_percent==2,value,risk.max_daily_loss_percent,2,1,1,parity_bnd_096_risk_guards_04
risk.max_daily_loss_percent==3,value,risk.max_daily_loss_percent,3,1,1,parity_bnd_093_risk_guards_01
risk.max_daily_loss_percent==8,value,risk.max_daily_loss_percent,8,1,1,parity_bnd_095_risk_guards_03
risk.use_daily_loss_limit==true,value,risk.use_daily_loss_limit,true,1,3,parity_bnd_093_risk_guards_01;parity_bnd_095_risk_guards_03;parity_bnd_096_risk_guards_04
signal_mode==None,value,signal_mode,None,1,1,parity_core_006_signal_none
signal_mode==Range Filter Hybrid (ADX+Chop+BB),value,signal_mode,Range Filter Hybrid (ADX+Chop+BB),1,2,parity_core_004_signal_range_hybrid;parity_core_005_signal_range_hybrid_bb
stop_loss.atr_len::changed,changed,stop_loss.atr_len,,1,1,parity_bnd_025_sl_atr_01
stop_loss.atr_mult::changed,changed,stop_loss.atr_mult,,1,1,parity_bnd_025_sl_atr_01
stop_loss.mode==%,value,stop_loss.mode,%,1,1,parity_pw_049
stop_loss.mode==SWING_ATR,value,stop_loss.mode,SWING_ATR,1,1,parity_pw_050
stop_loss.use_sl==false,value,stop_loss.use_sl,false,1,1,parity_pw_002
supertrend.atr_len::changed,changed,supertrend.atr_len,,1,1,parity_bnd_013_supertrend_01
supertrend.factor::changed,changed,supertrend.factor,,1,1,parity_bnd_013_supertrend_01
supertrend.use_ha==false,value,supertrend.use_ha,false,1,1,parity_core_009_supertrend_wicks_off_ha_off
supertrend.use_wicks==false,value,supertrend.use_wicks,false,1,1,parity_core_009_supertrend_wicks_off_ha_off
take_profit.mode==%,value,take_profit.mode,%,1,1,parity_pw_049
take_profit.mode==R,value,take_profit.mode,R,1,1,parity_pw_050
take_profit.use_tp==false,value,take_profit.use_tp,false,1,1,parity_pw_002
time_stop.bars::changed,changed,time_stop.bars,,1,1,parity_core_028_time_stop_enabled_bars_1
time_stop.condition==Loss Only,value,time_stop.condition,Loss Only,1,2,parity_core_032_time_stop_eod_on;parity_core_033_time_stop_eow_on
time_stop.condition==Profit Only,value,time_stop.condition,Profit Only,1,1,parity_core_030_time_stop_condition_profit_only
time_stop.enabled==true,value,time_stop.enabled,true,1,4,parity_core_028_time_stop_enabled_bars_1;parity_core_030_time_stop_condition_profit_only;parity_core_032_time_stop_eod_on;parity_core_033_time_stop_eow_on
time_stop.eod==true,value,time_stop.eod,true,1,1,parity_core_032_time_stop_eod_on
time_stop.eow==true,value,time_stop.eow,true,1,1,parity_core_033_time_stop_eow_on
trade.allow_flip==false,value,trade.allow_flip,false,1,3,parity_pw_002;parity_pw_049;parity_pw_050
trade.allow_same_bar_reentry==false,value,trade.allow_same_bar_reentry,false,1,3,parity_pw_002;parity_pw_049;parity_pw_050
trade.entry_mode==Edge,value,trade.entry_mode,Edge,1,2,parity_pw_002;parity_pw_050
trade.exit_on_filter_block==true,value,trade.exit_on_filter_block,true,1,7,parity_core_021_exit_filter_ma_block_on;parity_core_022_exit_filter_ma_slope_block_on;parity_core_023_exit_filter_mcginley_block_on;parity_core_024_exit_filter_htf_block_on;parity_core_025_exit_filter_volume_block_on;parity_core_026_exit_filter_atr_vol_block_on;parity_core_027_exit_filter_range_block_on
trade.exit_on_opposite_signal==true,value,trade.exit_on_opposite_signal,true,1,1,parity_pw_049
trade.use_regime_lock==true,value,trade.use_regime_lock,true,1,2,parity_pw_002;parity_pw_050
trailing.dist_r==1,value,trailing.dist_r,1,1,1,parity_bnd_076_be_trail_04
trailing.dist_r==1.5,value,trailing.dist_r,1.5,1,1,parity_bnd_073_be_trail_01
trailing.dist_r==2.5,value,trailing.dist_r,2.5,1,1,parity_bnd_075_be_trail_03
trailing.start_r==1.5,value,trailing.start_r,1.5,1,1,parity_bnd_076_be_trail_04
trailing.start_r==2,value,trailing.start_r,2,1,1,parity_bnd_073_be_trail_01
trailing.start_r==3,value,trailing.start_r,3,1,1,parity_bnd_075_be_trail_03
trailing.use_trailing==false,value,trailing.use_trailing,false,1,3,parity_pw_002;parity_pw_049;parity_pw_050
