corrected_intake_path,source_transcript_path,source_intake_path,video_id,title,faithfulness,reason
06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_9ZJK8175drM_2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md,9ZJK8175drM,2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake,WRONG_SOURCE_MATCH,No matching transcript found in transcript directory for this intake video_id/title.
06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_c7ZSb2wNcOc_2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md,c7ZSb2wNcOc,2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake,WRONG_SOURCE_MATCH,No matching transcript found in transcript directory for this intake video_id/title.
06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_fYxSQvuwOQc_2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,fYxSQvuwOQc,2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake,WRONG_SOURCE_MATCH,No matching transcript found in transcript directory for this intake video_id/title.
06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_Ne3X-l6W4CQ_2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,Ne3X-l6W4CQ,"""Process adherence, overtrading and behavior analytics playbook""",WRONG_SOURCE_MATCH,No matching transcript found in transcript directory for this intake video_id/title.
06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_Tm0dkf8_giA_2026-05-03_Tm0dkf8_giA_quantlens_vcp_breakout_intake_report.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Tm0dkf8_giA_quantlens_vcp_breakout_intake_report.md,Tm0dkf8_giA,+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP,PARTIAL_MISSING_IMPORTANT_WISDOM,Missing/weak capture: warnings_caveats
06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_XNZ4f-b3ED8_2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md,XNZ4f-b3ED8,2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit,WRONG_SOURCE_MATCH,No matching transcript found in transcript directory for this intake video_id/title.
06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_6aOnCK1gv2w_INTAKE_2026-05-03_6aOnCK1gv2w_chris_flanders_edge.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_6aOnCK1gv2w_chris_flanders_edge.md,6aOnCK1gv2w,+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge,PARTIAL_MISSING_IMPORTANT_WISDOM,Missing/weak capture: warnings_caveats
06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_6tnREqUJ1WY_INTAKE_2026-05-03_6tnREqUJ1WY_trading_backtests_misleading.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Trading Backtests Are Misleading - Here's what to do instead.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_6tnREqUJ1WY_trading_backtests_misleading.md,6tnREqUJ1WY,Trading Backtests Are Misleading - Here's what to do instead,PARTIAL_MISSING_IMPORTANT_WISDOM,Missing/weak capture: warnings_caveats
06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_lTiR1pc82EE_INTAKE_2026-05-03_lTiR1pc82EE_market_wizards_setups.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\5 Simple & Effective Trading Setups of Market Wizards.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lTiR1pc82EE_market_wizards_setups.md,lTiR1pc82EE,5 Simple & Effective Trading Setups of Market Wizards,PARTIAL_MISSING_IMPORTANT_WISDOM,"Missing/weak capture: warnings_caveats, trader_wisdom"
06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_R215f4fj7V8_INTAKE_2026-05-03_R215f4fj7V8_lance_breitstein_trend_trading.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Simple Trading Setup That Made Lance Breitstein Millions.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_R215f4fj7V8_lance_breitstein_trend_trading.md,R215f4fj7V8,The Simple Trading Setup That Made Lance Breitstein Millions,PARTIAL_MISSING_IMPORTANT_WISDOM,Missing/weak capture: trader_wisdom
06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_RTHRh_GLwH8_INTAKE_2026-05-03_RTHRh_GLwH8_mark_ritchie_low_risk_breakout_pyramid.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\100% Trading Returns - How to become a Super Trade with Mark Ritchie.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_RTHRh_GLwH8_mark_ritchie_low_risk_breakout_pyramid.md,RTHRh_GLwH8,100% Trading Returns - How to become a Super Trade with Mark Ritchie,PARTIAL_MISSING_IMPORTANT_WISDOM,Missing/weak capture: warnings_caveats
06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_UMgJ0P8fe0s_INTAKE_2026-05-03_UMgJ0P8fe0s_swing_vs_position_matt_petrolia.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Swing Trading Vs.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_UMgJ0P8fe0s_swing_vs_position_matt_petrolia.md,UMgJ0P8fe0s,Swing Trading Vs,PARTIAL_MISSING_IMPORTANT_WISDOM,"Missing/weak capture: market_asset_class, trader_wisdom"
06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_zw96qkUn9_g_INTAKE_2026-05-03_zw96qkUn9_g_clement_ang_150pct_returns.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\How Clement Ang Achieved 150%+ Returns in the US Investing Championship.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_zw96qkUn9_g_clement_ang_150pct_returns.md,zw96qkUn9_g,How Clement Ang Achieved 150%+ Returns in the US Investing Championship,PARTIAL_MISSING_IMPORTANT_WISDOM,Missing/weak capture: warnings_caveats
06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_JS4_6gv0PpI_QL_INTAKE_001_JS4_6gv0PpI_mark_minervini_vcp.md,"06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\33,500% RETURN - Mark Minervini's VCP Setup that made him Millions.md",06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_001_JS4_6gv0PpI_mark_minervini_vcp.md,JS4_6gv0PpI,"33,500% RETURN - Mark Minervini's VCP Setup that made him Millions",PARTIAL_MISSING_IMPORTANT_WISDOM,Missing/weak capture: warnings_caveats
06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_Yb5lMegA5Hs_QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT.md,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT.md,Yb5lMegA5Hs,QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT,WRONG_SOURCE_MATCH,No matching transcript found in transcript directory for this intake video_id/title.
06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_RHlsVNSM8Aw_QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT.md,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT.md,RHlsVNSM8Aw,QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT,WRONG_SOURCE_MATCH,No matching transcript found in transcript directory for this intake video_id/title.
06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_bRXO6F_vGjM_QUANTLENS_TY_RAJNUS_MICROCAP_SHORT_INTAKE_REPORT.md,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_TY_RAJNUS_MICROCAP_SHORT_INTAKE_REPORT.md,bRXO6F_vGjM,QUANTLENS_TY_RAJNUS_MICROCAP_SHORT_INTAKE_REPORT,WRONG_SOURCE_MATCH,No matching transcript found in transcript directory for this intake video_id/title.
