path,filename,size_bytes,sha256,url,video_id,title,duplicate_video_id,raw_transcript_suspect,is_text_readable
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,20416,8389b115696a446c9b20015c70058ff429a27a0affb7839e14029400259dabfd,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,-JyH5PAJ4-Y,I Stopped Trading So Much and My Profits Skyrocketed.md,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_10pHBNVi4Jc_quantlens_gon_gajala_low_float_momentum_intake.md,2026-05-03_10pHBNVi4Jc_quantlens_gon_gajala_low_float_momentum_intake.md,24615,c9498fb88dcb72ab0caf0f1e4a668b1daa30af542202300722f82f19dfa7f10d,https://youtu.be/10pHBNVi4Jc?si=ohzwBJxkVCTKPpcX,10pHBNVi4Jc,The Trading Setups of the Record Breaking Trading Champion.md,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_62OaP91Jz9k_quantlens_nick_schmidt_weekly_strategy_intake.md,2026-05-03_62OaP91Jz9k_quantlens_nick_schmidt_weekly_strategy_intake.md,20710,1dc3bdee2c569652bd261a300eeab71a5d556b8d9b808aa69e68a2717191dcd6,https://youtu.be/62OaP91Jz9k?si=PHn5ULWDuxyqjQ24,62OaP91Jz9k,120% Return A Simple Weekly Strategy Anyone Can Use.md,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md,2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md,10719,18f0d6cd783ea9d7b853725f5c42f6555122c89589ac4dce1c0a4762ab342f33,https://youtu.be/9ZJK8175drM?si=QcTE0mdW00UzcL_B,9ZJK8175drM,2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03__QewlGLBaeA_quantlens_anthony_shi_cycle_aware_momentum_intake.md,2026-05-03__QewlGLBaeA_quantlens_anthony_shi_cycle_aware_momentum_intake.md,28347,3d40ed99815e58e294ebd40de317fdeb5a1c3f9c031d2355afe3db57246b8fe0,https://youtu.be/_QewlGLBaeA?si=ZoVcYdRIch1Lx_Df,_QewlGLBaeA,Trading Millions How I Finally Became a Profitable Swing Trader.md,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md,2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md,18954,972489ad2a4ffed0ae8dd4aab837a7a59ca217747c9644ca2e6c5d0dbc9ac1f9,https://youtu.be/c7ZSb2wNcOc?si=qdou6ffSbBNhJw63,c7ZSb2wNcOc,2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,11017,72eca8fb506988658f5fe6cd285d7e2aa2eca6e8d672bb8560ef65d2f7d29305,https://youtu.be/fYxSQvuwOQc?si=mZyENAdFJu8x7LKZ,fYxSQvuwOQc,2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_ivL6E6Lc6gM_quantlens_charles_harris_pullback_intake.md,2026-05-03_ivL6E6Lc6gM_quantlens_charles_harris_pullback_intake.md,21243,4353f0f4702f38166be0c1ec00007a2f38df2b058bd011d9dde52ecc269cffe7,https://youtu.be/ivL6E6Lc6gM?si=GNNGCxRmyNZYqNrJ,ivL6E6Lc6gM,a Hedge Fund Manager Reveals his Perfect Pullback Trading Setup.md,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_KQRuUWSZvLE_quantlens_ryan_pierpont_process_intake.md,2026-05-03_KQRuUWSZvLE_quantlens_ryan_pierpont_process_intake.md,21313,8ce18d14a53e53cc1f4629240932d136466ebc014b3503ea4ddfd72223cdaa7d,https://youtu.be/KQRuUWSZvLE?si=50fVh__JlzLkqeb0,KQRuUWSZvLE,"""Ryan Pierpont — Process, Edge, Market Awareness and Trader Evolution""",NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_kTqKRi-j9kM_quantlens_linda_raschke_sell_rules_trade_management_intake.md,2026-05-03_kTqKRi-j9kM_quantlens_linda_raschke_sell_rules_trade_management_intake.md,22611,9a1c22d82d1c9ffb169f1451d5804f91e51ee4e4f345302055cb1e824d63303f,https://youtu.be/kTqKRi-j9kM?si=99GgO3p0M-b25wBA,kTqKRi-j9kM,The 5 Essential Sell Rules from a Market Wizard - Linda Bradford Raschke.md,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_MnXQOt7_ZP0_quantlens_jim_roppel_ai_bull_market_intake_report.md,2026-05-03_MnXQOt7_ZP0_quantlens_jim_roppel_ai_bull_market_intake_report.md,21188,afe72844ad5890e7f9fc9764590da3987f0f2815a69b598210d3d58918dfb426,https://youtu.be/MnXQOt7_ZP0?si=OdvX4hI-qnjYMKZp,MnXQOt7_ZP0,+85% Return in 30 Days The AI Bull Market Can Change your Life Hedge Fund Manager,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,19091,74826d735480f023540d29ee94b30d7ed99588483c24aabfc3fc62368128903d,https://youtu.be/Ne3X-l6W4CQ?si=s2DVjxj3f45iUfgx,Ne3X-l6W4CQ,"""Process adherence, overtrading and behavior analytics playbook""",NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_NGyE4YIgGpU_quantlens_tito_adhikary_options_momentum_intake_report.md,2026-05-03_NGyE4YIgGpU_quantlens_tito_adhikary_options_momentum_intake_report.md,20360,1a66dad19c3ae268dac251a357e7d5b5352e3fe3af7ee834e13a78c4cfb21681,"https://youtu.be/NGyE4YIgGpU?si=gj_6ZcIyjUFAEGhk""",NGyE4YIgGpU,2026-05-03_NGyE4YIgGpU_quantlens_tito_adhikary_options_momentum_intake_report,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_O0GpSPtmCuM_quantlens_stan_weinstein_stage_analysis_intake.md,2026-05-03_O0GpSPtmCuM_quantlens_stan_weinstein_stage_analysis_intake.md,22309,063fbc1d4b49d6dfe6348591b7166fb4ed270d0aa54e92e2391b34e8b9ca8a52,https://youtu.be/O0GpSPtmCuM?si=Ra7X5w149KdMksmj,O0GpSPtmCuM,Stage Analysis Warnings for Current Markets - Exclusive Interview with Stan Weinstein.md,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Tm0dkf8_giA_quantlens_vcp_breakout_intake_report.md,2026-05-03_Tm0dkf8_giA_quantlens_vcp_breakout_intake_report.md,14315,64f115f38347149dc790e018634a5e67170899deeed18bea9508285ac94afc25,https://youtu.be/Tm0dkf8_giA?si=KeJv1-D-_CbJU-FK,Tm0dkf8_giA,+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP),NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_UmLa9FAlMgw_quantlens_brian_shannon_avwap_intake.md,2026-05-03_UmLa9FAlMgw_quantlens_brian_shannon_avwap_intake.md,22777,c8a64b06533d84781209c68731375ce457b5308ba1ef65b9960c4d79ad131029,https://youtu.be/UmLa9FAlMgw?si=bqyEc59JFMCVzcGH,UmLa9FAlMgw,"The AVWAP Trading Indicator Secrets and Setups Brian Shannon, CMT.md",NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md,2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md,19737,010f11f9bf759172ca7c1c38525ee7d61bbfb740bb873fdb596fcffab7039096,https://youtu.be/XNZ4f-b3ED8?si=SEFGjG-VyI49JxU-,XNZ4f-b3ED8,2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_001_Lot25-2fb-4_433_return_poker_player_full_time_trader.md,INTAKE_001_Lot25-2fb-4_433_return_poker_player_full_time_trader.md,15937,2e59aa0069fd38c1c00a04c1e8118f473008c8a3859ee09cee9845e924dc0ed4,https://youtu.be/Lot25-2fb-4?si=YHKVb3kJfybusO5o,Lot25-2fb-4,433% Return in 1 Year From Poker Player to Full Time Trader,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_002_oZH6_XRxtDc_pro_swing_trading_entry_tactics_ep3.md,INTAKE_002_oZH6_XRxtDc_pro_swing_trading_entry_tactics_ep3.md,24731,df1c7d78ec7af3162cb4f4d80ac8bc48931134ce14d3fe6ddefc8508ce9b6eeb,https://youtu.be/oZH6_XRxtDc?si=ar7mxK0F7O5fbnBZ,oZH6_XRxtDc,Pro Swing Trading Entry Tactics Ultimate Trading Guide Ep3,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_003_NwgJQyoUAaI_pro_swing_trading_setups_ep2.md,INTAKE_003_NwgJQyoUAaI_pro_swing_trading_setups_ep2.md,21068,6e324b5e2b672f7d5ce42b26857c5809f0864c7daf5cff4228490bb52f9b4e45,https://youtu.be/NwgJQyoUAaI?si=IuOBlOwf_231Oftz,NwgJQyoUAaI,Pro Swing Trading Setups For Consistent Gains Ultimate Trading Guide Ep 2,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_004_M_tD6X0CSOI_the_perfect_vcp_trading_setup_mark_minervini.md,INTAKE_004_M_tD6X0CSOI_the_perfect_vcp_trading_setup_mark_minervini.md,24599,da28a52239c9683a2cc0557e45ce0e2d3b32567356732fce0af5266a6104f1a7,https://youtu.be/M_tD6X0CSOI?si=7w03YALv0bHJJJUE,M_tD6X0CSOI,The Perfect VCP Trading Setup with Mark Minervini,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_005_jD4nynuWfEU_raschke_relative_strength_janus_factor.md,INTAKE_005_jD4nynuWfEU_raschke_relative_strength_janus_factor.md,28847,8dbc1ad2c04837cc55c25e90c0a630a69202436ccced2500e82a68f6ba00f50b,https://www.youtube.com/watch?v=jD4nynuWfEU,jD4nynuWfEU,The Reality of Relative Strength Based Trading with Linda Raschke,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_006_HAN1kymVbTc_ted_zhang_momentum_portfolio_manager.md,INTAKE_006_HAN1kymVbTc_ted_zhang_momentum_portfolio_manager.md,30966,1a7145afe456d875baa9ca29d4a7afdf59b60b68b9045f3c374b7d06172ec89e,https://youtu.be/HAN1kymVbTc?si=phH70Py9VkhrRlBA,HAN1kymVbTc,"Trading $30 Million at Age 25 - The Story of Ted Zhang, Momentum Portfolio Manager",NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_2f5VfmlU90U_charles_harris_trading_psychology.md,INTAKE_2026-05-03_2f5VfmlU90U_charles_harris_trading_psychology.md,22987,3585812cb59b54bcfb3dbe6981026d93ce06047f14997f5b07fb1184c95b5b92,https://youtu.be/2f5VfmlU90U?si=pNdZdVgF6KhoXP-v,2f5VfmlU90U,The Mind of a Trader — Insights on Trading Psychology and Overcoming Setbacks — Charles Harris,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,18798,7c452dc91e1c9469c68c19c7d73e7e95debd305468f1f977aa4f687504002ff4,https://www.youtube.com/watch?v=4-IjRmw7SZI,4-IjRmw7SZI,INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_6aOnCK1gv2w_chris_flanders_edge.md,INTAKE_2026-05-03_6aOnCK1gv2w_chris_flanders_edge.md,17925,0b6864ecd8d6c0e78117c2c76c6d728e142dc28ee2b4aec15aa5dc6ec76e34a9,https://www.youtube.com/watch?v=6aOnCK1gv2w,6aOnCK1gv2w,+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_6tnREqUJ1WY_trading_backtests_misleading.md,INTAKE_2026-05-03_6tnREqUJ1WY_trading_backtests_misleading.md,19845,f21f13cd1cc0575e0f7a23b911dad5a87c37c4e419575496d0e85ff9ff10bac1,https://www.youtube.com/watch?v=6tnREqUJ1WY,6tnREqUJ1WY,INTAKE_2026-05-03_6tnREqUJ1WY_trading_backtests_misleading,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03__AAX1ylNbIE_market_wizards_lessons.md,INTAKE_2026-05-03__AAX1ylNbIE_market_wizards_lessons.md,15124,3cfd2d492fcdf2840b75f56db4d58a36ded413caaac5149d69c521dee7a72ad1,https://youtu.be/_AAX1ylNbIE?si=GS5jQ8yvhFsDIQd1,_AAX1ylNbIE,INTAKE_2026-05-03__AAX1ylNbIE_market_wizards_lessons,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_a4uJ3rHhbfA_anish_sikri_position_sizing.md,INTAKE_2026-05-03_a4uJ3rHhbfA_anish_sikri_position_sizing.md,21529,ad4dac2e352c171173575ff76826093c8fe004f86a1ff248d87e956d7c0a31c4,https://youtu.be/a4uJ3rHhbfA?si=hD9z9rji3O6XbMnj,a4uJ3rHhbfA,The Art of Position Sizing with Anish Sikri | US Investing Championship Top Contender,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_aDRYV4mjlHA_vibha_jha_tqqq_swing_strategy.md,INTAKE_2026-05-03_aDRYV4mjlHA_vibha_jha_tqqq_swing_strategy.md,24423,459e628fbfd91a86ac9fe32141ec9a1a5933986138f9dcc6138cefa0f2b2e009,https://youtu.be/aDRYV4mjlHA?si=3rtey_IW5W7-U_XR,aDRYV4mjlHA,The Million Dollar TQQQ Swing Trading Strategy Vibha Jha,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_C9Pvd9UD0jM_mark_minervini_progressive_exposure.md,INTAKE_2026-05-03_C9Pvd9UD0jM_mark_minervini_progressive_exposure.md,16215,edbf5a2560f259101c9181235ad6e5a1e4c77c1deceb987d5b3688ca2a168c2a,https://www.youtube.com/watch?v=C9Pvd9UD0jM,C9Pvd9UD0jM,Mark Minervini's #1 Risk Management Secret to Grow Your Trading Profit,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_CtioOmc1Eig_charles_harris_trade_like_professional.md,INTAKE_2026-05-03_CtioOmc1Eig_charles_harris_trade_like_professional.md,20009,75010d76c96952583afcd2e5c478ac7025a5fcee34b17e5af429b08ee62a494e,https://youtu.be/CtioOmc1Eig?si=ISO4HKuamRbbh4ns,CtioOmc1Eig,Trade Like a Professional — Simple and Effective Trading Strategy with Charles Harris,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_DPA35Gug3Y4_brian_lee_smallcap_mean_reversion_progressive_exposure.md,INTAKE_2026-05-03_DPA35Gug3Y4_brian_lee_smallcap_mean_reversion_progressive_exposure.md,22541,de24bc54004fc363aa63942b25902c02d2d03003ac2778b45f720aa1d1cb220f,https://youtu.be/DPA35Gug3Y4?si=tgHSwpjijUJECVZU,DPA35Gug3Y4,Gamer Trades $5k into over $1 Million with just a 30% Win Rate - Brian Lee Trades,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_ElocJ-b_NTs_oliver_kell_10_principles.md,INTAKE_2026-05-03_ElocJ-b_NTs_oliver_kell_10_principles.md,16051,9ca8b7500ca0f7a574946cbfb16e5035d14790f59871060200313bb43e56a7ea,https://youtu.be/ElocJ-b_NTs?si=5HoHV7QnhLAqXNM1,ElocJ-b_NTs,The 10 Principles of Trading with Investing Champion Oliver Kell,NO,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_eWtY7uoJL_0_david_ryan_price_volume_discipline.md,INTAKE_2026-05-03_eWtY7uoJL_0_david_ryan_price_volume_discipline.md,21128,c08f797a0eccb9af565a7a74cd5208648241d34362d897159facbf239ae8396c,https://youtu.be/eWtY7uoJL_0?si=9_3CvT5T5e5HyILo,eWtY7uoJL_0,Trading The Battle With Yourself | Market Wizard David Ryan,NO,NO,YES
